Country,Headline,Sentiment,Confidence,Timestamp
Global,Goldman Sachs downgraded partly on ‘disappointing’ start to 2025 dealmaking,Negative,1.0,2025-02-27 16:54:47
Global,Salesforce’s growth hits a bad milestone. Can its AI agents provide a boost?,Positive,1.0,2025-02-27 16:54:47
Global,Moderna’s stock stumbles on report HHS is reviewing a $590 million bird-flu-vaccine award,Neutral,1.0,2025-02-27 16:54:47
Global,Student-loan borrowers struggle to access repayment plans. Advocates worry about ‘chaos.’,Negative,1.0,2025-02-27 16:54:47
Global,The good times are over for the world's largest ocean carriers as pricing power plummets,Negative,0.99,2025-02-27 16:54:47
Global,"Nvidia’s stock is in a funk. Earnings didn’t help, but here’s what could.",Negative,0.47,2025-02-27 16:54:47
Global,Fed’s Schmid warns against rate cuts in response to weaker outlook,Negative,1.0,2025-02-27 16:54:47
Global,Nvidia is biggest chip player. But it also leads by this metric — which may surprise you.,Neutral,0.96,2025-02-27 16:54:48
Global,Warner Bros.’ stock gets boost from upbeat guidance about strong subscriber growth,Positive,1.0,2025-02-27 16:54:48
Global,Snowflake surges 13% on earnings beat as company expands AI push,Positive,1.0,2025-02-27 16:54:48
Global,U.S. recession ‘no longer seems completely unthinkable’ as jobless claims spike higher,Negative,1.0,2025-02-27 16:54:48
Global,Beacon Roofing sees ‘headwinds’ from tariffs and labor jitters from building contactors,Negative,1.0,2025-02-27 16:54:48
Global,"Trump says Mexico, Canada tariffs will start March 4, plus additional 10% on China",Neutral,1.0,2025-02-27 16:54:48
Global,Jobless claims match 3-month high as Trump White House readies more federal job cuts,Neutral,0.52,2025-02-27 16:54:48
Global,Core durable-goods orders rise for third straight month in January,Positive,1.0,2025-02-27 16:54:48
Global,"I’m 45 and my 401(k) was frozen. Should I roll it over to a bigger account, a Roth IRA or just withdraw all $140K?",Neutral,1.0,2025-02-27 16:54:48
Global,Swiss Re expects LA wildfire costs to come in at under $700 million,Neutral,1.0,2025-02-27 16:54:48
Global,Federal jobs went from reliable to risky overnight. Here’s where Americans can find stable work now — and in the future.,Neutral,0.89,2025-02-27 16:54:48
Global,"Norwegian Cruise’s bookings are still booming, and passengers are spending more",Negative,0.65,2025-02-27 16:54:49
Global,Papa John’s says it’s on track to take market share as profit beats estimate,Positive,1.0,2025-02-27 16:54:49
Global,"Warby Parker to sell its eyewear at Target, sending stock up 6%",Neutral,0.98,2025-02-27 16:54:49
Global,"Hormel’s stock boosted by revenue beat, though challenges lie ahead with turkeys and nuts",Positive,1.0,2025-02-27 16:54:49
Global,Oil prices boosted after Trump moves to end Venezuela crude deal,Positive,1.0,2025-02-27 16:54:49
Global,Three catalysts have driven S&P 500 corrections since 1964. Here’s what could spark one now.,Neutral,1.0,2025-02-27 16:54:49
Global,"Momentum investors have amplified the bond-market rally, says JPMorgan. Here’s how far they can take things.",Neutral,1.0,2025-02-27 16:54:49
Global,My dying cousin ‘fell in love’ with his hospice nurse after 4 months. She inherited his entire estate. What can I do?,Neutral,1.0,2025-02-27 16:54:49
Global,"Two thieves bought a lottery ticket with a stolen credit card and won $500,000. The victim wants a share of their winnings. But who’s the real victim here?",Neutral,0.99,2025-02-27 16:54:49
Global,"‘I don’t know where I’m going next, but it’s time to go’: Jessica Simpson on getting divorced and why she left L.A.",Neutral,1.0,2025-02-27 16:54:49
Global,"Rolls-Royce has been outperformed by Palantir, Nvidia but few others — and the gains continue",Positive,1.0,2025-02-27 16:54:49
Global,The world’s largest advertising company says revenue may fall. The stock is getting hammered.,Negative,1.0,2025-02-27 16:54:50
Global,Treasury yields inch up after dropping to 11-week low on growth fears,Positive,0.98,2025-02-27 16:54:50
Global,401(k) millionaires jump 27% as workers keep saving through bumpy markets,Positive,1.0,2025-02-27 16:54:50
Global,Axon Enterprise CEO describes how the company aims 'to make the bullet obsolete',Neutral,1.0,2025-02-27 16:54:50
Global,Medicaid’s future is so murky that it’s doomed even without direct cuts to senior care,Neutral,1.0,2025-02-27 16:54:50
Global,"Tariff uncertainty is weighing on market action, Jim Cramer says",Neutral,0.76,2025-02-27 16:54:50
Global,Meme coins led crypto’s rally last year. Now they may be hurting the entire crypto market.,Negative,1.0,2025-02-27 16:54:50
Global,C3.ai stock slides despite growing Q3 revenue 26%,Negative,1.0,2025-02-27 16:54:50
Global,"If you invested $1,000 in Nvidia 10 years ago, here’s how much money you’d have now",Neutral,1.0,2025-02-27 16:54:50
Global,Paramount skids to a loss but says merger expected to close in first half as expected,Negative,1.0,2025-02-27 16:54:50
Global,The 3 biggest things to know about a potential U.S.-Ukraine minerals deal,Neutral,1.0,2025-02-27 16:54:50
Global,Snowflake’s stock soars as revenue and guidance cheer up investors,Negative,1.0,2025-02-27 16:54:51
Global,Salesforce stock slides as full-year forecast comes up short,Positive,1.0,2025-02-27 16:54:51
Global,"Deere shareholders reject anti-DEI proposal, as Trump pressures Apple to abandon diversity plans",Negative,0.84,2025-02-27 16:54:51
Global,"Trulieve, Curaleaf and Green Thumb launch hemp-based THC drinks as cannabis reforms stall",Neutral,1.0,2025-02-27 16:54:51
Global,"Eli Lilly's stock recovery chugs along, and Amazon's AI strategy adds a new pillar",Positive,1.0,2025-02-27 16:54:51
Global,Trump wants a $5 million ‘gold card’ path to citizenship to cut U.S. debt. Here are the obstacles he’ll face.,Negative,1.0,2025-02-27 16:54:51
Global,New York padlocks 207 illegal pot stores as licensed sellers gain traction,Positive,1.0,2025-02-27 16:54:51
Global,"After abrupt departure of Lucid CEO, here are the EV maker's top priorities",Neutral,1.0,2025-02-27 16:54:51
Global,San Francisco’s office market hit rock bottom. Here’s how Wall Street is helping revive it.,Neutral,0.99,2025-02-27 16:54:51
Global,"What we know about Alexa+ — Amazon’s new AI-powered voice assistant — and how the price compares to Google Gemini, ChatGPT",Neutral,1.0,2025-02-27 16:54:51
Global,The brightest spot in the housing market is fading fast,Positive,0.73,2025-02-27 16:54:51
Global,"Elliott’s Paul Singer gives rare interview. Here’s what he said about markets, crypto and AI.",Neutral,1.0,2025-02-27 16:54:52
Global,Why the Medicaid ‘chainsaw’ will come for your home,Neutral,0.99,2025-02-27 16:54:52
Global,House budget tees up steep Medicaid cuts and big SALT fight. Here’s what’s next.,Neutral,1.0,2025-02-27 16:54:52
Global,"Costco chairman on why the popular wholesale chain sells diamonds, gold bars and sports cars: 'Affluent people love a good deal'",Neutral,1.0,2025-02-27 16:54:52
Global,"At Lucid, key-person risk is a ‘reality’ investors have yet to understand",Neutral,0.95,2025-02-27 16:54:52
Global,Can Nvidia earnings rally the stock market and stop the bleeding in tech?,Positive,0.98,2025-02-27 16:54:52
Global,Taser maker Axon brushes off DOGE budget-cut worries as stock rallies,Negative,1.0,2025-02-27 16:54:52
Global,Eli Lilly to spend $27 billion to expand U.S. manufacturing with four new sites,Neutral,1.0,2025-02-27 16:54:52
Global,Lumen’s stock got little love from Wall Street analysts. That’s now changing.,Neutral,0.88,2025-02-27 16:54:52
Global,Eric Adams seeks total dismissal of criminal case for 'prosecutorial misconduct',Neutral,1.0,2025-02-27 16:54:52
Global,Super Micro’s stock is up 20%. Here’s what’s really behind the big rally.,Positive,1.0,2025-02-27 16:54:52
Global,AppLovin’s stock plunges as short sellers team up to stoke the bear case,Negative,1.0,2025-02-27 16:54:52
Global,Munich Re announces buybacks even after saying it expects $1.2 billion in claims from California fires,Neutral,1.0,2025-02-27 16:54:53
Global,"As many as 41% of employers plan to use AI to replace roles—but it’s not a 'jobs apocalypse,' experts say",Neutral,1.0,2025-02-27 16:54:53
Global,Eli Lilly plans at least $27 billion in new U.S. manufacturing investments,Neutral,1.0,2025-02-27 16:54:53
Global,These small changes could boost your investment gains by millions of dollars,Positive,0.99,2025-02-27 16:54:53
Global,T.J. Maxx parent sees broad sales growth as customers are buying more things,Positive,1.0,2025-02-27 16:54:53
Global,AI’s power demands spark new joint GE Vernova–NRG electricity plant project,Neutral,1.0,2025-02-27 16:54:53
Global,Intuitive Machines’ stock climbs as second moon-landing mission looms,Neutral,0.97,2025-02-27 16:54:53
Global,"Oil prices trade at 2025 lows on tariff fears, hopes for end to Ukraine war",Negative,0.97,2025-02-27 16:54:53
Global,Bloomin’ Brands’ stock slides as revenue falls short for a sixth straight quarter,Negative,1.0,2025-02-27 16:54:53
Global,Value investor Bill Nygren explains why Nvidia isn’t the best AI stock to own now,Neutral,0.92,2025-02-27 16:54:53
Global,North Korea’s $1.5 billion crypto hack is chump change — given what’s lurking,Neutral,0.99,2025-02-27 16:54:53
Global,Advance Auto Parts’ stock skids as retailer predicts weak sales next quarter,Negative,1.0,2025-02-27 16:54:54
